
17.1.2015 - 2:7 #008099neo#990000x. killed [WRT]#ff0000Diablo666 for: ...
17.1.2015 - 23:23 [SGA]H!J@CK killed Lapinas for: blocking
18.1.2015 - 5:4 -]alw[-#fff000MoshPit killed [WRT]BlancoPerla for: blck
18.1.2015 - 15:33 [SGA]DOOZY#B7CEECJude killed Rhooke for: idiot
18.1.2015 - 18:21 SandySweet killed #00CCFFJacksParrow for: idiot
18.1.2015 - 18:32 SandySweet killed #FF0000hudy#00FF004701 for: idiota
19.1.2015 - 0:7 #7ade00AleksCore killed #ff0000Engendro for: blocking
19.1.2015 - 0:7 #7ade00AleksCore killed #ff0000Engendro for: blocking
19.1.2015 - 14:40 [SiK]PauerfC_Cl killed #00FFFF[uDka]ZILINS for: blocker
20.1.2015 - 12:14 SandySweet killed #FF0000hudy#00FF004701 for: blocker
20.1.2015 - 12:21 SandySweet killed #FF0000hudy#00FF004701 for: kretyn
20.1.2015 - 16:32 [SGA]DOOZY#B7CEECJude killed PCC|#f00000PIkelete for: ping
20.1.2015 - 18:27 SandySweet killed [DoN]Granderski_Do$ for: łaczyna
21.1.2015 - 5:15 -]alw[-#fff000MoshPit killed Sida for: blck
21.1.2015 - 5:29 -]alw[-#fff000MoshPit killed Sida for: blck
21.1.2015 - 15:4 [SiK]PauerfC_Cl killed SandySweet for: PRESS B YOU IDIOT
21.1.2015 - 17:57 SandySweet killed SeRion for: blocker
22.1.2015 - 11:4 -]alw[-#fff000MoshPit killed #00FFFF[uDka]ZILINS for: block
22.1.2015 - 12:46 [SGA]DOOZY#B7CEECJude killed DURICS for: <3
22.1.2015 - 15:24 [SGA]DOOZY#B7CEECJude killed [LSL]Leon for: spasst
22.1.2015 - 15:25 [SGA]DOOZY#B7CEECJude killed [LSL]Leon for: f
22.1.2015 - 15:26 [SGA]DOOZY#B7CEECJude killed [LSL]Leon for: h
22.1.2015 - 16:23 [SiK]PauerfC_Cl killed #00FFFF[uDka]Starf*cke for: drive normal
23.1.2015 - 14:23 [SiK]PauerfC_Cl killed [dLb]#0b614bSweatyVaj for: press b idiot
23.1.2015 - 22:26 SandySweet killed #0000ffSub-#00ffffZero for: bloker
23.1.2015 - 22:26 SandySweet killed #0000ffSub-#00ffffZero for: bloker
24.1.2015 - 15:47 SandySweet killed #00FFFF[uDka]ZILINS for: pizdaaaaa
24.1.2015 - 15:48 SandySweet killed jan611 for: idiot
24.1.2015 - 15:59 SandySweet killed BERAAT for: idiot
24.1.2015 - 16:35 [SGA]DOOZY#B7CEECJude killed SkullCandy2045 for: retard
24.1.2015 - 16:35 [SGA]DOOZY#B7CEECJude killed SkullCandy2045 for: retard
25.1.2015 - 19:32 [SiK]PauerfC_Cl killed Rherty16 for: you idiot
26.1.2015 - 15:1 SandySweet killed -XIII-#a30707Driver76 for: blocker
26.1.2015 - 20:12 [SiK]PauerfC_Cl killed #FF1493[uDka]ROZALIJA for: idiot
26.1.2015 - 20:50 [SGA]DOOZY#B7CEECJude killed [ptzh]DvDMZ for: block
26.1.2015 - 20:51 [SGA]DOOZY#B7CEECJude killed [ptzh]DvDMZ for: nigga
26.1.2015 - 21:10 [SGA]DOOZY#B7CEECJude killed #FF1493[uDka]ROZALIJA for: aa
27.1.2015 - 5:5 -]alw[-#fff000MoshPit killed #ff0000Pollaman for: blck
27.1.2015 - 17:50 SandySweet killed #404040Realjno for: N00B
27.1.2015 - 18:0 SandySweet killed EfeGaming for: idiot
27.1.2015 - 18:0 SandySweet killed EfeGaming for: idiot
27.1.2015 - 18:0 SandySweet killed EfeGaming for: idiot
27.1.2015 - 18:2 SandySweet killed EfeGaming for: banned
27.1.2015 - 18:3 SandySweet killed EfeGaming for: 4everGM
27.1.2015 - 18:4 SandySweet killed CulturedTophat27 for: idiot
27.1.2015 - 21:37 [SGA]DOOZY#B7CEECJude killed ABOGAOMALAFAMA for: block
28.1.2015 - 3:37 -]alw[-#fff000MoshPit killed xxsantixdxx for: blck
28.1.2015 - 3:37 -]alw[-#fff000MoshPit killed xxsantixdxx for: blck
28.1.2015 - 4:26 -]alw[-#fff000MoshPit killed 505#ff0000GTI#00dd00DZ for: bck
28.1.2015 - 4:44 -]alw[-#fff000MoshPit killed 103#ff0000(*#00dd00DZ for: blck
28.1.2015 - 4:45 -]alw[-#fff000MoshPit killed 103#ff0000(*#00dd00DZ for: blck
28.1.2015 - 4:46 -]alw[-#fff000MoshPit killed 103#ff0000(*#00dd00DZ for: blck
28.1.2015 - 17:15 SandySweet killed [DRIFT~Meteh@n]~[FG]~ for: blocker
28.1.2015 - 17:16 SandySweet killed [DRIFT~Meteh@n]~[FG]~ for: wrongdirection
28.1.2015 - 18:6 [SiK]PauerfC_Cl killed #FF0040Alptug for: dont block
29.1.2015 - 16:31 SandySweet killed BBG for: idiot
29.1.2015 - 18:37 [SGA]DOOZY#B7CEECJude killed #00FF00Ramer-Pro for: kid stfu
29.1.2015 - 21:15 SandySweet killed SzymonDaun for: kretyn
29.1.2015 - 21:16 SandySweet killed Leyenda for: pyti
29.1.2015 - 21:16 SandySweet killed ImpossibleGrains90 for: idiot
30.1.2015 - 1:30 -]alw[-#fff000MoshPit killed senseye for: gay
30.1.2015 - 16:55 SandySweet killed #FEFE22Megas#00FFFFXLR for: idiot
30.1.2015 - 16:55 SandySweet killed #FEFE22Megas#00FFFFXLR for: idiot
30.1.2015 - 17:42 SandySweet killed [uDka]Granderski_Do$ for: idiot
31.1.2015 - 14:58 [SGA]H!J@CK killed #FF0040Alptug for: blocking in previous map
31.1.2015 - 15:6 SandySweet killed #00ffff!.X.!|Mustafa| for: idiot
1.2.2015 - 0:40 #7ade00AleksCore killed #EE82EEStartseva[RUS] for: s
1.2.2015 - 0:46 #7ade00AleksCore killed #ff0000mikethelink for: bombit
1.2.2015 - 10:37 SandySweet killed [uDka]Granderski_Do$ for: blocker
1.2.2015 - 10:46 SandySweet killed 1982 for: blocker
1.2.2015 - 19:3 [SiK]PauerfC_Cl killed Dalek for: blocker
1.2.2015 - 19:12 [SiK]PauerfC_Cl killed belekas for: blocker
2.2.2015 - 21:21 [SGA]DOOZYJude killed #fab8fcMiley_Cyrus for: ff
